organisation,dataset_id,dataset_name,date_created,last_updated,description,frequency,coverage_start,coverage_end,resource_id,resource_name,resource_description,resource_format
Ministry of Trade and Industry - Department of Statistics,20d0395c-e6a5-4aba-9e1a-02b78fdefdab,"Consumer Price Index, Monthly",05/10/2015,29/11/2017,The CPI is designed to measure the average price changes in a fixed basket of consumption goods and services commonly purchased by the resident households over time. It is commonly used as a measure of consumer price inflation. The Base Year is 2014.,Monthly,01/01/1961,31/10/2017,67d08d6b-2efa-4825-8bdb-667d23b7285e,"Consumer Price Index, Base Year 2014 = 100, Monthly","The CPI covers only consumption expenditure incurred by resident households. Non-consumption expenditures such as loan repayments, income tax, purchase of houses, shares and other financial assets are excluded.",CSV
Ministry of Trade and Industry - Department of Statistics,20d0395c-e6a5-4aba-9e1a-02b78fdefdab,"Consumer Price Index, Monthly",05/10/2015,29/11/2017,The CPI is designed to measure the average price changes in a fixed basket of consumption goods and services commonly purchased by the resident households over time. It is commonly used as a measure of consumer price inflation. The Base Year is 2014.,Monthly,01/01/1961,31/10/2017,49ca0f3d-4ea4-44a3-9012-d1fd3b8495a4,"Consumer Price Index at Division Level, Base Year 2014 = 100, Monthly",na,CSV
Ministry of Trade and Industry - Department of Statistics,20d0395c-e6a5-4aba-9e1a-02b78fdefdab,"Consumer Price Index, Monthly",05/10/2015,29/11/2017,The CPI is designed to measure the average price changes in a fixed basket of consumption goods and services commonly purchased by the resident households over time. It is commonly used as a measure of consumer price inflation. The Base Year is 2014.,Monthly,01/01/1961,31/10/2017,5fa8c503-9bdc-41cb-912f-923851eb2eca,"Consumer Price Index at Group Level, Base Year 2014 = 100, Monthly",na,CSV
Ministry of Health,3b649be6-cc6a-41c1-9c55-6850d4d3392b,Consumer Price Indices (General and Healthcare),03/04/2017,31/05/2017,Consumer price indices (general and healthcare),Annual,01/01/2006,31/12/2015,530e0bcc-a9c4-419f-88af-394e688c939c,Consumer Price Indices (CPI),Consumer price indices (general and healthcare),CSV
Maritime and Port Authority of Singapore,0992d676-47d9-40a5-9dfc-8f493d823239,"Container Throughput, Annual",30/06/2017,13/02/2018,Dataset shows the annual container throughput in twenty-foot equivalent units.,Annual,01/01/1972,31/12/2017,dcf81859-2a92-4ff6-a499-5356a0b82011,"Container Throughput, Annual",na,CSV
Maritime and Port Authority of Singapore,35fbcb71-98c8-4269-897f-d1a66f1bb36b,"Container Throughput, Monthly",30/06/2017,22/02/2018,Dataset shows the monthly container throughput in twenty-foot equivalent units.(Latest month figures are preliminary estimates.),Monthly,01/01/1995,31/01/2018,cd119524-9f43-44df-a5f9-f6f6b207a72b,"Container Throughput, Monthly",na,CSV
Central Provident Fund Board,79dc6908-2340-4949-a7f5-8bfc409cc669,"CPF Contribution Rates, Allocation Rates and Applicable Wage Ceiling",18/05/2016,15/05/2017,"Rates of CPF contribution for employers or employees, allocation rates for various age groups & account types, and applicable wage ceiling",Adhoc,01/07/1955,31/12/2016,64dcb906-c10b-41cd-9cc2-fca49b0ce8a9,Ordinary wage ceiling,na,CSV
Central Provident Fund Board,79dc6908-2340-4949-a7f5-8bfc409cc669,"CPF Contribution Rates, Allocation Rates and Applicable Wage Ceiling",18/05/2016,15/05/2017,"Rates of CPF contribution for employers or employees, allocation rates for various age groups & account types, and applicable wage ceiling",Adhoc,01/07/1955,31/12/2016,b2a7620a-118d-4cd4-95ba-1530471da004,CPF allocation rates,"As a proportion of wage, for private sector employees, public sector non-pensionable employees.Percentages are expressed as a number out of 1.The rates are applicable for the highest wage band. For example, the rates for January 2014 are applicable for wages of $750 or more per month.",CSV
Central Provident Fund Board,79dc6908-2340-4949-a7f5-8bfc409cc669,"CPF Contribution Rates, Allocation Rates and Applicable Wage Ceiling",18/05/2016,15/05/2017,"Rates of CPF contribution for employers or employees, allocation rates for various age groups & account types, and applicable wage ceiling",Adhoc,01/07/1955,31/12/2016,65db3d22-9b16-43a3-8d4b-a2133043a78b,CPF contribution rates,"As a proportion of wage, for private sector employees and public sector non-pensionable employees.Percentages are expressed as a number out of 1.The CPF contribution rates are applicable for the highest wage band. For example, the rates for January 2014 are applicable for wages of $750 or more per month.",CSV
Ministry of Trade and Industry - Department of Statistics,d3aca2f6-ce0d-4a07-90bf-ea7bc5d4196d,"Contribution To Growth In Gross Domestic Product At 2010 Market Prices, By Industry (SSIC 2015), Annual",20/06/2016,17/11/2017,The contribution to total GDP (as at 2010 prices) growth of industries in percentage points. Estimates are compiled based on the best available data at the time of release. They may be subsequently revised when new data becomes available.,Annual,01/01/1961,31/12/2016,3bb4ec7c-25fc-4eb2-873d-5e27e0979ae7,"Contribution To Growth In Gross Domestic Product At 2010 Market Prices, Annual",The contribution to total GDP (as at 2010 prices) growth of industries in percentage points. Estimates are compiled based on the best available data at the time of release. They may be subsequently revised when new data becomes available.,CSV
Ministry of Trade and Industry - Department of Statistics,d3aca2f6-ce0d-4a07-90bf-ea7bc5d4196d,"Contribution To Growth In Gross Domestic Product At 2010 Market Prices, By Industry (SSIC 2015), Annual",20/06/2016,17/11/2017,The contribution to total GDP (as at 2010 prices) growth of industries in percentage points. Estimates are compiled based on the best available data at the time of release. They may be subsequently revised when new data becomes available.,Annual,01/01/1961,31/12/2016,7b5dfdd7-7890-4835-95c0-1f4252b50712,"Contribution To Growth In Gross Domestic Product At 2010 Market Prices By Industry, Annual",na,CSV
Ministry of Trade and Industry - Department of Statistics,d3aca2f6-ce0d-4a07-90bf-ea7bc5d4196d,"Contribution To Growth In Gross Domestic Product At 2010 Market Prices, By Industry (SSIC 2015), Annual",20/06/2016,17/11/2017,The contribution to total GDP (as at 2010 prices) growth of industries in percentage points. Estimates are compiled based on the best available data at the time of release. They may be subsequently revised when new data becomes available.,Annual,01/01/1961,31/12/2016,5dc1ecfe-ef1a-4b45-b270-dc6ef89ceaea,Contribution To Growth In Gross Domestic Product At 2010 Market Prices By Detailed Industr,"Contribution To Growth In Gross Domestic Product At 2010 Market Prices By Detailed Industry, Annual",CSV
Ministry of Home Affairs - Singapore Prison Service,649b20f1-5b81-4206-a7bf-283abcad756c,Convicted Penal Release,29/03/2016,27/02/2017,Convicted penal inmates released in each year breakdown by gender.,Annual,01/01/2006,31/12/2016,c67cb818-5f0c-48e4-92b0-098158304c55,Convicted Penal Release,Convicted penal inmates released in each year.,CSV
Ministry of Home Affairs - Singapore Prison Service,649b20f1-5b81-4206-a7bf-283abcad756c,Convicted Penal Release,29/03/2016,27/02/2017,Convicted penal inmates released in each year breakdown by gender.,Annual,01/01/2006,31/12/2016,30f39191-cd23-4dc7-a037-c7776660d55e,Convicted Penal Releases by Gender,Convicted penal inmates released in each year breakdown by gender.,CSV
Singapore Land Authority,aed671b2-af3a-485f-ba0b-3091f3671319,Approval of Land Lots,06/05/2016,24/01/2018,Overview of the corporate performance of SLA on the number of approved land lots. This dataset is updated every six months.,Monthly,01/04/2010,30/09/2017,18a0acf4-b487-400a-a552-ca489ab5f724,Approval of Land Lots,Overview of the number of approved land lots in aggregate form,CSV
Ministry of Home Affairs - Singapore Prison Service,de1d5a55-10b6-4ba0-85d2-33519a699930,Convicted Penal Admission,29/03/2016,27/02/2017,Convicted penal inmates admitted in each year.,Annual,01/01/2006,31/12/2016,67d5276b-ff0e-4c66-b49e-07cb768332a8,Convicted Penal Admission,Convicted penal inmates admitted in each year.,CSV
Ministry of Home Affairs - Singapore Prison Service,de1d5a55-10b6-4ba0-85d2-33519a699930,Convicted Penal Admission,29/03/2016,27/02/2017,Convicted penal inmates admitted in each year.,Annual,01/01/2006,31/12/2016,8177ca36-9dac-4aeb-8eb7-62698e9a4e26,Convicted Penal Admission by Age Group,Convicted penal inmates admitted in each year breakdown by age group.,CSV
Ministry of Home Affairs - Singapore Prison Service,de1d5a55-10b6-4ba0-85d2-33519a699930,Convicted Penal Admission,29/03/2016,27/02/2017,Convicted penal inmates admitted in each year.,Annual,01/01/2006,31/12/2016,936f996e-82d5-4dde-8805-261e2941f566,Convicted Penal Admission by Education Level,Convicted penal inmates admitted in each year breakdown by education level.,CSV
Ministry of Home Affairs - Singapore Prison Service,de1d5a55-10b6-4ba0-85d2-33519a699930,Convicted Penal Admission,29/03/2016,27/02/2017,Convicted penal inmates admitted in each year.,Annual,01/01/2006,31/12/2016,b143b3c9-76ac-4df7-90ad-967d4175ed8b,Convicted Penal Admission by Gender,Convicted penal inmates admitted in each year breakdown by gender.,CSV
Ministry of Home Affairs - Singapore Prison Service,de1d5a55-10b6-4ba0-85d2-33519a699930,Convicted Penal Admission,29/03/2016,27/02/2017,Convicted penal inmates admitted in each year.,Annual,01/01/2006,31/12/2016,86991d85-c2db-41b2-8290-daf4bbf80668,Convicted Penal Admission by Offence Group,Convicted penal inmates admitted in each year breakdown by offence group.,CSV
Ministry of Home Affairs - Singapore Prison Service,0aefd8d3-78f1-4d14-bdde-f5b4cd197bcd,Convicted Penal Population,29/03/2016,16/06/2017,Convicted Penal Population as at 31st December of each year.,Annual,01/01/2006,31/12/2016,b53a919f-31df-4077-92c4-5d629c6038b1,Convicted Penal Population,Convicted Penal Population as at 31st December of each year.,CSV
Ministry of Home Affairs - Singapore Prison Service,0aefd8d3-78f1-4d14-bdde-f5b4cd197bcd,Convicted Penal Population,29/03/2016,16/06/2017,Convicted Penal Population as at 31st December of each year.,Annual,01/01/2006,31/12/2016,5c59d146-acb2-48d3-aac3-1de59eb20633,Convicted Penal Population by Age Group,Convicted Penal Population as at 31st December of each year breakdown by Age Group.,CSV
Ministry of Home Affairs - Singapore Prison Service,0aefd8d3-78f1-4d14-bdde-f5b4cd197bcd,Convicted Penal Population,29/03/2016,16/06/2017,Convicted Penal Population as at 31st December of each year.,Annual,01/01/2006,31/12/2016,3ccfe79a-dcd1-427b-be63-e507a1ee7480,Convicted Penal Population by Education Level,Convicted Penal Population as at 31st December of each year breakdown by education level.,CSV
Ministry of Home Affairs - Singapore Prison Service,0aefd8d3-78f1-4d14-bdde-f5b4cd197bcd,Convicted Penal Population,29/03/2016,16/06/2017,Convicted Penal Population as at 31st December of each year.,Annual,01/01/2006,31/12/2016,7070dc26-a95a-4560-8670-6682705a9cff,Convicted Penal Population by Gender,Convicted Penal Population as at 31st December of each year breakdown by gender.,CSV
Ministry of Home Affairs - Singapore Prison Service,0aefd8d3-78f1-4d14-bdde-f5b4cd197bcd,Convicted Penal Population,29/03/2016,16/06/2017,Convicted Penal Population as at 31st December of each year.,Annual,01/01/2006,31/12/2016,e06a88bb-8a2b-4c88-a5e1-d8a17fbb80cb,Convicted Penal Population by Offence Group,Convicted Penal Population as at 31st December of each year breakdown by offence group.,CSV
Ministry of Home Affairs - Singapore Prison Service,0aefd8d3-78f1-4d14-bdde-f5b4cd197bcd,Convicted Penal Population,29/03/2016,16/06/2017,Convicted Penal Population as at 31st December of each year.,Annual,01/01/2006,31/12/2016,1f644f67-a7e4-44e0-bd5a-307ebb5baded,Convicted Penal Population by Age Group and Offence Group,Population of convicted penal inmates in each year.,CSV
Ministry of Home Affairs - Singapore Prison Service,0aefd8d3-78f1-4d14-bdde-f5b4cd197bcd,Convicted Penal Population,29/03/2016,16/06/2017,Convicted Penal Population as at 31st December of each year.,Annual,01/01/2006,31/12/2016,046b6c78-26b2-4e2b-bbef-740dfb14a690,Convicted Penal Population by Education Level and Offence Group,Population of convicted penal inmates in each year.,CSV
Ministry of Home Affairs - Singapore Prison Service,0aefd8d3-78f1-4d14-bdde-f5b4cd197bcd,Convicted Penal Population,29/03/2016,16/06/2017,Convicted Penal Population as at 31st December of each year.,Annual,01/01/2006,31/12/2016,ff6936e6-4fcd-4985-99d4-07d1486eedfe,Convicted Penal Population by Gender and Offence Group,Population of convicted penal inmates in each year.,CSV
Ministry of Trade and Industry - Department of Statistics,351ea390-75af-40dd-bbaf-2af7fab16416,"Contribution to Growth in Total Demand at 2010 Market Prices, Annual",15/06/2016,16/11/2017,"The contribution of total demand components to the growth in total demand, expressed in 2010 prices. Total demand is the sum of total domestic demand and external demand.",Annual,01/01/1961,31/12/2016,7bb280a2-f06e-4769-b337-7f7a8286e500,"Contribution to Growth in Total Demand at 2010 Market Prices, Annual",na,CSV
Ministry of Trade and Industry - Department of Statistics,351ea390-75af-40dd-bbaf-2af7fab16416,"Contribution to Growth in Total Demand at 2010 Market Prices, Annual",15/06/2016,16/11/2017,"The contribution of total demand components to the growth in total demand, expressed in 2010 prices. Total demand is the sum of total domestic demand and external demand.",Annual,01/01/1961,31/12/2016,39c79971-f4fa-4a32-9e43-3a0d5eafe61c,"Contribution to Growth of Total Demand Components at 2010 Market Prices, Annual",na,CSV
Ministry of Trade and Industry - Department of Statistics,351ea390-75af-40dd-bbaf-2af7fab16416,"Contribution to Growth in Total Demand at 2010 Market Prices, Annual",15/06/2016,16/11/2017,"The contribution of total demand components to the growth in total demand, expressed in 2010 prices. Total demand is the sum of total domestic demand and external demand.",Annual,01/01/1961,31/12/2016,84e5c7fc-8cae-44f0-a3c6-028e4913784a,"Contribution to Growth of Total Domestic Demand Components at 2010 Market Prices, Annual",na,CSV
Ministry of Trade and Industry - Department of Statistics,351ea390-75af-40dd-bbaf-2af7fab16416,"Contribution to Growth in Total Demand at 2010 Market Prices, Annual",15/06/2016,16/11/2017,"The contribution of total demand components to the growth in total demand, expressed in 2010 prices. Total demand is the sum of total domestic demand and external demand.",Annual,01/01/1961,31/12/2016,6f12cfe6-2512-42df-a441-ca9302c152a5,Contribution to Growth of Final Domestic Demand Components at 2010 Market Prices,na,CSV
Ministry of Trade and Industry - Department of Statistics,351ea390-75af-40dd-bbaf-2af7fab16416,"Contribution to Growth in Total Demand at 2010 Market Prices, Annual",15/06/2016,16/11/2017,"The contribution of total demand components to the growth in total demand, expressed in 2010 prices. Total demand is the sum of total domestic demand and external demand.",Annual,01/01/1961,31/12/2016,81a0d1f8-111c-4f0c-9905-af05e144d98c,Contribution to Growth of Final Domestic Demand Components by Public/Private Breakdown,na,CSV
Ministry of Trade and Industry - Department of Statistics,85817e3a-b996-45e3-bf75-56ce5320a7ce,"Contribution to Growth in Total Demand at 2010 Market Prices, Quarterly",15/06/2016,16/11/2017,The contribution of total demand components to the growth in total demand. Total demand is the sum of total domestic demand and external demand.,Quarterly,01/01/1976,30/06/2017,e6852ec6-17a4-4e4e-9076-7963a80accc3,"Contribution to Growth in Total Demand at 2010 Market Prices, Quarterly",na,CSV
Ministry of Trade and Industry - Department of Statistics,85817e3a-b996-45e3-bf75-56ce5320a7ce,"Contribution to Growth in Total Demand at 2010 Market Prices, Quarterly",15/06/2016,16/11/2017,The contribution of total demand components to the growth in total demand. Total demand is the sum of total domestic demand and external demand.,Quarterly,01/01/1976,30/06/2017,d4827a80-08c5-4512-a63d-475456f78248,"Contribution to Growth of Total Demand Components at 2010 Market Prices, Quarterly",na,CSV
Ministry of Trade and Industry - Department of Statistics,85817e3a-b996-45e3-bf75-56ce5320a7ce,"Contribution to Growth in Total Demand at 2010 Market Prices, Quarterly",15/06/2016,16/11/2017,The contribution of total demand components to the growth in total demand. Total demand is the sum of total domestic demand and external demand.,Quarterly,01/01/1976,30/06/2017,d4383dc1-a9d0-4eb9-a8cd-a01ac5056e72,"Contribution to Growth of Total Domestic Demand Components at 2010 Market Prices, Quarterl",na,CSV
Ministry of Trade and Industry - Department of Statistics,85817e3a-b996-45e3-bf75-56ce5320a7ce,"Contribution to Growth in Total Demand at 2010 Market Prices, Quarterly",15/06/2016,16/11/2017,The contribution of total demand components to the growth in total demand. Total demand is the sum of total domestic demand and external demand.,Quarterly,01/01/1976,30/06/2017,f60fa826-e3e2-44b5-89df-feb0e743e43e,Contribution to Growth of Final Domestic Demand Components at 2010 Market Prices,na,CSV
Ministry of Trade and Industry - Department of Statistics,85817e3a-b996-45e3-bf75-56ce5320a7ce,"Contribution to Growth in Total Demand at 2010 Market Prices, Quarterly",15/06/2016,16/11/2017,The contribution of total demand components to the growth in total demand. Total demand is the sum of total domestic demand and external demand.,Quarterly,01/01/1976,30/06/2017,1803a075-b9ba-4e44-98de-cc30b49585a2,Contribution to Growth of Final Domestic Demand Components by Public/Private Breakdown,na,CSV
Singapore Land Authority,e784e999-c006-463b-82f3-d98436c672b4,Approval of Strata Lots,10/05/2016,24/01/2018,Overview of the corporate performance of SLA on the number of approved strata lots. This dataset is updated every six months.,Monthly,01/04/2010,30/09/2017,716502a0-1805-496b-82a2-54a0138b79de,Approval of Strata Lots,Overview of the number of approved strata lots in aggregate form,CSV
Central Provident Fund Board,061022af-27f4-42d3-9c02-f45d9b3d8e7e,"CPF Contributions Received & Net Amount Withdrawn, Annual",30/05/2016,14/06/2017,Total amount of CPF contributions received and total net amount withdrawn from CPF in calendar year,Annual,01/01/2010,31/12/2016,11fda2ce-004e-4fff-9c93-ee2208fa1b5e,"CPF contributions received, Annual","CPF contributions received in calendar year. Includes Government Grants and dividends from Special Discounted Shares.Figures are rounded to the nearest million dollars.",CSV
Central Provident Fund Board,061022af-27f4-42d3-9c02-f45d9b3d8e7e,"CPF Contributions Received & Net Amount Withdrawn, Annual",30/05/2016,14/06/2017,Total amount of CPF contributions received and total net amount withdrawn from CPF in calendar year,Annual,01/01/2010,31/12/2016,23d7cbf8-bea7-410e-a939-5921014a31fc,"Net amount withdrawn, Annual","Refers to withdrawals net of refunds, in calendar year.Figures are rounded to the nearest million dollars.",CSV
Inland Revenue Authority of Singapore,865471b8-c1d3-4b2a-9ebf-56bb261f982d,"Cost of Tax Collection, Annual",27/06/2016,21/11/2017,IRAS' overall cost per dollar of tax collected for Financial Year (FY)2000 to FY2016.,Annual,01/04/2000,31/03/2017,9c9d18fa-0865-43c9-a24e-8a90c7303a40,Cost of Tax Collection,na,CSV
Central Provident Fund Board,567d9d4b-caa1-4917-9d94-194f64a394ee,CPF Service Centres,24/09/2015,30/06/2017,Location of the CPF Service Centre in Singapore,Adhoc,na,na,7b49e55f-d1d0-43fd-a28b-44fdcd273c9c,CPF Service Centres (KML),na,KML
Central Provident Fund Board,567d9d4b-caa1-4917-9d94-194f64a394ee,CPF Service Centres,24/09/2015,30/06/2017,Location of the CPF Service Centre in Singapore,Adhoc,na,na,26347161-033d-4b29-8b16-811f939624ff,CPF Service Centres (SHP),na,SHP
Ministry of Trade and Industry - Department of Statistics,c7110ebe-c21c-4beb-824f-46d5ea45a0f8,"CPI For Households by Income Group, (Base Year 2014 = 100), Annual",11/05/2016,06/02/2017,The CPI is designed to measure the average price changes in a fixed basket of consumption goods and services commonly purchased by the resident households over time. It is commonly used as a measure of consumer price inflation. The Base Year is 2014.,Annual,01/01/1993,31/12/2016,99332bec-b360-4f38-83c5-69edb0f6d37d,CPI For Households by Income Group (All Items),na,CSV
Ministry of Trade and Industry - Department of Statistics,c7110ebe-c21c-4beb-824f-46d5ea45a0f8,"CPI For Households by Income Group, (Base Year 2014 = 100), Annual",11/05/2016,06/02/2017,The CPI is designed to measure the average price changes in a fixed basket of consumption goods and services commonly purchased by the resident households over time. It is commonly used as a measure of consumer price inflation. The Base Year is 2014.,Annual,01/01/1993,31/12/2016,1c54b9b3-a85e-4975-bfe2-f9dc47b61605,CPI For Households by Income Group and Division (All Items),na,CSV
Monetary Authority of Singapore,37f61fe1-1ad3-4d50-bf43-8d8539cd247b,Credit and Charge Card Statistics,19/10/2015,19/04/2017,"Credit and charge cards refer to any article, whether in physical or electronic form, of a kind commonly known as a credit card or charge card or any similar article intended for use in purchasing goods or services on credit, whether or not the card is valid for immediate use.Credit card rollover balance refers to the balance that incurs interest charges in the event that the credit card charges are not settled by the payment due date. The balance includes the minimum payment not settled by the due date and the rollover balance after payment of the minimum sum. For rollover balances and the number of main and supplementary cards, the figures given are as of end of each month. Note: Total billings, rollover balances and written-off bad debts are in S$ millions. Charge-off rates are percentages.",Annual,01/01/1989,31/08/2015,aae7f304-f003-4c82-83e2-c0c05590f061,"Credit and Charge Card Statistics, Annual",na,CSV
Monetary Authority of Singapore,37f61fe1-1ad3-4d50-bf43-8d8539cd247b,Credit and Charge Card Statistics,19/10/2015,19/04/2017,"Credit and charge cards refer to any article, whether in physical or electronic form, of a kind commonly known as a credit card or charge card or any similar article intended for use in purchasing goods or services on credit, whether or not the card is valid for immediate use.Credit card rollover balance refers to the balance that incurs interest charges in the event that the credit card charges are not settled by the payment due date. The balance includes the minimum payment not settled by the due date and the rollover balance after payment of the minimum sum. For rollover balances and the number of main and supplementary cards, the figures given are as of end of each month. Note: Total billings, rollover balances and written-off bad debts are in S$ millions. Charge-off rates are percentages.",Annual,01/01/1989,31/08/2015,abb9c5b4-2d9f-4c97-bc19-b701dbb074d4,"Credit and Charge Card Statistics, Monthly",na,CSV
Ministry of Home Affairs - Immigration & Checkpoints Authority,8db406b8-674c-4d0b-b792-dc087a373799,"Crude Birth, Death & Natural Increase Rates by Ethnic Group",07/04/2016,21/08/2017,"Published in Report on Registration of Births and Deaths which aims to provide an overview on the annual changes in population, births and deaths.",Annual,01/01/1971,31/12/2016,1c8ea8a5-3f1f-43be-ad36-3e510adbd2d3,"Crude Birth, Death & Natural Increase rates by Ethnic Group from 1971 - 2015","Please note that from 1980 onwards the crude birth, death and natural increase rates are based on Singapore residents only.",CSV
Housing and Development Board,6aacb35f-6e99-4655-abc2-f41e1e48481d,Cumulative Area Reclaimed for Engineering Projects,15/06/2016,15/12/2017,Area of land reclaimed for engineering projects at the end of each financial year (i.e. as at 31 Mar),Annual,01/04/1991,31/03/2017,84d2e9ce-e210-4755-b320-7f884699d7c5,Cumulative Area Reclaimed for Engineering Projects,na,CSV
Housing and Development Board,d50de1a1-f292-48d6-b434-8058593a83ed,Cumulative HDB Properties/Facilities Completed Since 1960,13/06/2016,15/12/2017,Data refers to cumulative units of dwelling units and non-residential properties that were completed since 1960.,Annual,01/04/2008,31/03/2017,76987fe1-e59f-427a-b27e-addc75024538,Cumulative Dwelling Units Completed Since 1960,"Data refers to dwelling units constructed by HDB and dwelling units constructed by private developers under the Design, Build and Sell Scheme (DBSS).",CSV
Housing and Development Board,d50de1a1-f292-48d6-b434-8058593a83ed,Cumulative HDB Properties/Facilities Completed Since 1960,13/06/2016,15/12/2017,Data refers to cumulative units of dwelling units and non-residential properties that were completed since 1960.,Annual,01/04/2008,31/03/2017,cd9c99d4-34e4-45ac-a7be-e813b8ad44bc,Cumulative HDB Commercial Properties Completed Since 1960,na,CSV
Housing and Development Board,d50de1a1-f292-48d6-b434-8058593a83ed,Cumulative HDB Properties/Facilities Completed Since 1960,13/06/2016,15/12/2017,Data refers to cumulative units of dwelling units and non-residential properties that were completed since 1960.,Annual,01/04/2008,31/03/2017,cdaa8ea9-9601-4f8a-9bef-4f772e09b5bf,Cumulative Industrial Properties Completed Since 1960,"Ready-built factories include the following: Terrace Workshops, Industrial Shops, Warehouses, Industrial Complexes, Prototype Factories and Canteens/Eating Houses in industrial estates. Data on ready-built factories include the Woodlands Park D units (comprising 342 terrace workshops, 218 industrial workshops and 3 canteens) hived off to Jurong Town Corporation in 1995 and includes 1 canteen in Tampines that was demolished in 1996.",CSV
Housing and Development Board,d50de1a1-f292-48d6-b434-8058593a83ed,Cumulative HDB Properties/Facilities Completed Since 1960,13/06/2016,15/12/2017,Data refers to cumulative units of dwelling units and non-residential properties that were completed since 1960.,Annual,01/04/2008,31/03/2017,f8a51d67-6381-4c48-be91-35a88521e0e9,Cumulative Shops and Recreational Facilities Completed Since 1960,na,CSV
Housing and Development Board,d50de1a1-f292-48d6-b434-8058593a83ed,Cumulative HDB Properties/Facilities Completed Since 1960,13/06/2016,15/12/2017,Data refers to cumulative units of dwelling units and non-residential properties that were completed since 1960.,Annual,01/04/2008,31/03/2017,c1d57b37-c9af-4103-b078-8f8bce4ff963,"Cumulative HDB, Government or Institutional Facilities Completed Since 1960","From 2012, Community Centres/Clubs was renamed as Community Centres (void decks) to better refer to the community centres that are built by HDB which are located in HDB void decks.Data for Area Offices, Branch Offices and Town Council Offices was revised in 2013 and area offices were taken out as they have been incorporated under commercial properties. Admin offices which are located in Neighbourhood Centres were included instead. Hence, the data from 2013 was renamed to Admin Offices, Branch Offices and Town Council Offices.",CSV
Housing and Development Board,982ef395-0d7d-48a5-8192-316610b3f7bb,Cumulative Number of Sites Under Selective En Bloc Redevelopment Scheme (SERS),15/06/2016,15/12/2017,"Total number of sites under SERs since 1995, breakdown by completed and work-in-progress (WIP), at the end of each financial year (i.e. as at 31 Mar)",Annual,01/04/2006,31/03/2017,6f489df0-7199-450a-82e6-d00af9532ed1,Cumulative number of sites under SERS since 1995,na,CSV
Ministry of Trade and Industry - Department of Statistics,b0e38d7d-6cc5-489f-be3f-0c324dbca72f,"Current Ratios Of Companies By Main Industrial Sectors (End Of Period), Annual",22/06/2016,16/11/2017,"Current ratio measures the liquidity of companies. Data are extracted from financial accounts of companies covered in the Survey of Financial Structure and Operations of Companies. They may be subsequently revised when new data becomes available.",Annual,01/01/1994,31/12/2015,856b2c71-daf9-4516-92ff-43309626a05b,"Current Ratios of Companies (End of Period), Annual",na,CSV
Ministry of Trade and Industry - Department of Statistics,b0e38d7d-6cc5-489f-be3f-0c324dbca72f,"Current Ratios Of Companies By Main Industrial Sectors (End Of Period), Annual",22/06/2016,16/11/2017,"Current ratio measures the liquidity of companies. Data are extracted from financial accounts of companies covered in the Survey of Financial Structure and Operations of Companies. They may be subsequently revised when new data becomes available.",Annual,01/01/1994,31/12/2015,cf29dc27-c1f0-41ec-8e81-207f5a25f6a1,"Current Ratios of Companies by Broad Industrial Sectors (End of Period), Annual",na,CSV
Ministry of Trade and Industry - Department of Statistics,b0e38d7d-6cc5-489f-be3f-0c324dbca72f,"Current Ratios Of Companies By Main Industrial Sectors (End Of Period), Annual",22/06/2016,16/11/2017,"Current ratio measures the liquidity of companies. Data are extracted from financial accounts of companies covered in the Survey of Financial Structure and Operations of Companies. They may be subsequently revised when new data becomes available.",Annual,01/01/1994,31/12/2015,77095336-3563-488f-b32e-d850bb4c4254,"Current Ratios of Companies by Main Industrial Sectors (End of Period), Annual",na,CSV
Land Transport Authority,61d1075e-16e5-4a2b-a803-d2f9b378c82f,Cycling Path Network,04/05/2016,19/12/2017,A symbolic line representation of the cycling paths from LTA & Town Council.,Half Year,na,na,c5889148-f0d2-4620-b22f-d6ba00655a97,Cycling Path Network (KML),na,KML
GovTech,dba9594b-fb5c-41c5-bb7c-92860ee31aeb,Data.gov.sg Dataset Listing,03/04/2017,04/03/2018,This dataset contains a listing of all datasets provided on Data.gov.sg.,Daily,03/03/2018,03/03/2018,85be5dcc-93f6-4d36-ae10-c85b0907948c,Data.gov.sg Dataset Listing,na,CSV
Ministry of Trade and Industry - Department of Statistics,fbee9170-1752-4730-9b48-512c45062523,"Death Rates, Annual",11/05/2016,16/11/2017,Death rates are measures of population health.,Annual,01/01/1960,31/12/2016,db3aa9df-d7c2-460c-a50a-0a99ab74ba6a,Crude Death Rate & Age-Standardised Death Rate,"Crude Death Rate refers to the number of deaths in a given year, per thousand mid-year population. Age-Standardised Death Rate is a summary indicator of mortality that removes the effects of age structure variations in population composition. It is computed by multiplying the age-specific death rates of the reference population by the proportion of the corresponding age group out of a â€œstandardâ€ù population. The Singapore resident population as at June 2003 is used as the standard population which is chosen to fix the age structure to eliminate its effect on mortality trends. Data prior to 1980 pertain to total population. Data from 1980 onwards pertain to resident population (i.e. Singapore citizens and permanent residents).",CSV
